date,open,high,low,close,volume,Symbol,Name,Industry
2018-02-06,30.78,32.14,30.53,32.02,8297651,FITB,Fifth Third Bancorp,Banks
2018-02-07,31.94,32.79,31.83,32.34,5545899,FITB,Fifth Third Bancorp,Banks
2018-01-02,14.71,14.75,14.49,14.6,13410958,HBAN,Huntington Bancshares,Banks
2018-01-03,14.64,14.79,14.5588,14.72,15133740,HBAN,Huntington Bancshares,Banks
2018-01-04,14.88,14.91,14.75,14.85,15114254,HBAN,Huntington Bancshares,Banks
2018-01-05,14.91,15.01,14.86,14.98,9988323,HBAN,Huntington Bancshares,Banks
2018-01-08,14.91,15.01,14.85,14.95,11481418,HBAN,Huntington Bancshares,Banks
2018-01-09,15.02,15.39,14.97,15.23,6983775,HBAN,Huntington Bancshares,Banks
2018-01-10,15.38,15.69,15.3,15.48,8935423,HBAN,Huntington Bancshares,Banks
2018-01-11,15.55,15.66,15.47,15.63,6850310,HBAN,Huntington Bancshares,Banks
2018-01-12,15.7,15.85,15.65,15.85,7951779,HBAN,Huntington Bancshares,Banks
2018-01-16,16.0,16.0,15.585,15.68,10524209,HBAN,Huntington Bancshares,Banks
2018-01-17,15.75,15.8,15.54,15.76,9992424,HBAN,Huntington Bancshares,Banks
2018-01-18,15.81,15.855,15.5,15.51,9854459,HBAN,Huntington Bancshares,Banks
2018-01-19,15.54,15.81,15.52,15.81,9001578,HBAN,Huntington Bancshares,Banks
2018-01-22,15.83,16.05,15.75,16.03,10999700,HBAN,Huntington Bancshares,Banks
2018-01-23,16.05,16.325,15.88,16.04,24556311,HBAN,Huntington Bancshares,Banks
2018-01-24,16.13,16.23,15.925,16.11,12994443,HBAN,Huntington Bancshares,Banks
2018-01-25,16.18,16.23,16.02,16.05,12549592,HBAN,Huntington Bancshares,Banks
2018-01-26,16.14,16.21,16.08,16.21,8683795,HBAN,Huntington Bancshares,Banks
2018-01-29,16.22,16.3,16.1732,16.23,7159568,HBAN,Huntington Bancshares,Banks
2018-01-30,16.1,16.26,16.06,16.1,8264494,HBAN,Huntington Bancshares,Banks
2018-01-31,16.13,16.25,16.1,16.18,9993934,HBAN,Huntington Bancshares,Banks
2018-02-01,16.14,16.35,16.14,16.34,12872434,HBAN,Huntington Bancshares,Banks
2018-02-02,16.31,16.53,16.03,16.08,12434608,HBAN,Huntington Bancshares,Banks
2018-02-05,15.91,16.17,15.42,15.43,20177758,HBAN,Huntington Bancshares,Banks
2018-02-06,15.16,15.66,15.09,15.53,29742716,HBAN,Huntington Bancshares,Banks
2018-02-07,15.47,15.77,15.45,15.64,14957061,HBAN,Huntington Bancshares,Banks
2018-01-02,107.63,108.02,106.8056,107.95,13578835,JPM,JPMorgan Chase & Co.,Banks
2018-01-03,107.86,108.49,107.48,108.06,11901037,JPM,JPMorgan Chase & Co.,Banks
2018-01-04,108.36,110.03,108.2,109.04,12953656,JPM,JPMorgan Chase & Co.,Banks
2018-01-05,109.26,109.55,107.775,108.34,14154974,JPM,JPMorgan Chase & Co.,Banks
2018-01-08,108.15,108.68,107.7,108.5,12466512,JPM,JPMorgan Chase & Co.,Banks
2018-01-09,108.72,109.63,108.49,109.05,13292310,JPM,JPMorgan Chase & Co.,Banks
2018-01-10,109.47,110.7,109.39,110.25,15834468,JPM,JPMorgan Chase & Co.,Banks
2018-01-11,110.67,110.929,110.051,110.84,13676788,JPM,JPMorgan Chase & Co.,Banks
2018-01-12,111.65,112.85,110.84,112.67,18884229,JPM,JPMorgan Chase & Co.,Banks
2018-01-16,111.51,113.43,111.07,112.27,22703336,JPM,JPMorgan Chase & Co.,Banks
2018-01-17,111.89,113.2958,111.31,112.99,14940266,JPM,JPMorgan Chase & Co.,Banks
2018-01-18,112.76,113.7226,112.27,113.26,14572911,JPM,JPMorgan Chase & Co.,Banks
2018-01-19,113.94,114.34,112.804,113.01,18785468,JPM,JPMorgan Chase & Co.,Banks
2018-01-22,112.66,114.39,112.5,114.33,12475654,JPM,JPMorgan Chase & Co.,Banks
2018-01-23,113.67,114.64,113.35,114.21,12320751,JPM,JPMorgan Chase & Co.,Banks
2018-01-24,114.86,116.0,114.66,115.67,15904504,JPM,JPMorgan Chase & Co.,Banks
2018-01-25,116.04,116.17,115.075,115.7,13509957,JPM,JPMorgan Chase & Co.,Banks
2018-01-26,115.7,116.32,114.96,116.32,13883875,JPM,JPMorgan Chase & Co.,Banks
2018-01-29,116.02,117.3529,116.02,116.2,11679919,JPM,JPMorgan Chase & Co.,Banks
2018-01-30,115.53,116.6,114.98,115.11,14279124,JPM,JPMorgan Chase & Co.,Banks
2018-01-31,115.65,116.66,115.16,115.67,13141423,JPM,JPMorgan Chase & Co.,Banks
