date,open,high,low,close,volume,Symbol,Name,Industry
2018-01-04,82.0,83.0,79.69,82.17,5173099,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-01-05,82.39,82.97,81.61,82.69,2727412,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-01-08,83.0,83.0,80.61,81.44,4875269,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-01-09,81.52,82.1,80.43,80.62,3810738,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-01-10,79.2,80.9455,78.8,80.91,4941137,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-01-11,80.92,82.91,80.9,82.25,3822071,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-01-12,82.68,83.31,82.45,83.12,2990813,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-01-16,83.7,84.98,83.3,83.88,5574321,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-01-17,84.54,85.4799,84.2,85.16,4397980,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-01-18,85.17,86.57,85.07,86.4,4603950,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-01-19,86.12,87.07,85.38,85.6,3938520,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-01-22,85.94,86.39,85.1,86.24,4534469,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-01-23,86.43,87.55,86.01,87.34,3081448,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-01-24,87.7,87.89,86.18,86.97,4696601,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-01-25,88.18,89.84,87.645,87.99,7284045,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-01-26,86.75,89.63,86.71,89.6,8188499,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-01-29,88.74,89.8,87.18,87.45,5004692,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-01-30,86.0,87.26,85.11,87.08,4730868,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-01-31,89.18,91.19,88.67,88.98,8524324,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-02-01,87.43,89.12,86.6,87.65,3555220,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-02-02,86.99,87.13,85.01,85.25,5010389,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-02-05,84.2,85.9,81.44,81.45,5205198,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-02-06,80.58,84.6,80.25,84.25,4835812,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-02-07,83.95,85.32,83.1,83.71,3737728,WDC,Western Digital,"Technology Hardware, Storage & Periph..."
2018-01-02,29.38,29.48,29.11,29.37,1776767,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-01-03,29.41,29.48,29.02,29.33,1907546,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-01-04,29.47,29.72,29.335,29.69,2565933,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-01-05,29.8,29.94,29.55,29.91,1542135,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-01-08,29.89,30.28,29.87,30.26,1282197,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-01-09,30.28,30.55,30.15,30.19,1585870,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-01-10,30.17,30.39,30.03,30.35,994900,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-01-11,31.96,32.51,31.24,31.86,4010188,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-01-12,31.72,32.84,31.61,32.77,3323902,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-01-16,32.85,32.97,32.24,32.35,1731522,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-01-17,32.43,32.43,31.86,31.92,1724827,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-01-18,31.82,31.83,31.31,31.37,1528292,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-01-19,31.47,31.89,31.305,31.8,1578866,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-01-22,32.64,33.08,32.075,32.64,3574627,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-01-23,32.57,32.74,32.2,32.58,1532980,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-01-24,32.66,32.67,32.25,32.36,1676853,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-01-25,32.48,32.54,32.12,32.38,1479103,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-01-26,32.76,32.88,32.43,32.83,2086851,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-01-29,32.79,32.97,32.69,32.84,1222781,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-01-30,32.62,32.84,32.26,32.68,2213009,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-01-31,33.88,37.42,33.6,34.13,17964257,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-02-01,34.1,34.33,32.56,32.75,8154921,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-02-02,32.51,32.51,31.535,31.63,3526028,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-02-05,31.8,32.68,31.38,31.38,4104575,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-02-06,30.94,31.53,30.22,30.85,4431244,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
2018-02-07,30.73,31.405,30.73,31.18,2983504,XRX,Xerox Holdings,"Technology Hardware, Storage & Periph..."
